Frame,AX,AY,AZ,GX,GY,GZ
185,42,92,8013,0,5,9
186,42,92,8013,0,5,9
187,42,92,8013,0,5,9
188,42,92,8013,0,5,9
189,42,92,8013,0,5,9
190,42,92,8013,0,5,9
191,42,92,8013,0,5,9
192,42,92,8013,0,5,9
193,42,92,8013,0,5,9
194,42,92,8013,0,5,9
195,42,92,8013,0,5,9
196,42,92,8013,0,5,9
197,42,92,8013,0,5,9
198,42,92,8013,0,5,9
199,42,92,8013,0,5,9
200,42,92,8013,0,5,9
201,42,92,8013,2,3,11
202,72,36,8043,2,3,11
203,72,36,8043,2,3,11
204,72,36,8043,2,3,11
205,72,36,8043,2,3,11
206,72,36,8043,2,3,11
207,72,36,8043,2,3,11
208,72,36,8043,2,3,11
209,72,36,8043,2,3,11
210,72,36,8043,2,3,11
211,72,36,8043,2,3,11
212,72,36,8043,2,3,11
213,72,36,8043,2,3,11
214,72,36,8043,2,3,11
215,72,36,8043,2,3,11
216,72,36,8043,2,3,11
217,72,36,8043,2,3,11
218,72,36,8043,2,3,11
219,72,36,8043,2,3,11
220,72,36,8043,2,3,11
221,72,36,8043,2,3,11
222,72,36,8043,2,3,11
223,72,36,8043,2,3,11
224,72,36,8043,2,3,11
225,72,36,8043,2,3,11
226,72,36,8043,2,3,11
227,72,36,8043,2,3,11
228,72,36,8043,2,3,11
229,72,36,8043,2,3,11
230,72,36,8043,2,3,11
231,72,36,8043,2,3,11
232,72,36,8043,2,3,11
233,72,36,8043,2,3,11
234,72,36,8043,2,3,11
235,72,36,8043,2,3,11
236,72,36,8043,2,3,11
237,72,36,8043,2,3,11
238,72,36,8043,2,3,11
239,72,36,8043,2,3,11
240,72,36,8043,2,3,11
241,72,36,8043,2,3,11
242,72,36,8043,2,3,11
243,72,36,8043,2,3,11
244,72,36,8043,2,3,11
245,72,36,8043,2,3,11
246,72,36,8043,2,3,11
247,72,36,8043,2,3,11
248,72,36,8043,2,3,11
249,72,36,8043,2,3,11
250,72,36,8043,2,3,11
251,72,36,8043,2,3,11
252,72,36,8043,2,3,11
253,72,36,8043,2,3,11
254,72,36,8043,2,3,11
255,72,36,8043,2,3,11
256,72,36,8043,2,3,11
257,72,36,8043,2,3,11
258,72,36,8043,2,3,11
259,72,36,8043,2,3,11
260,72,36,8043,2,3,11
261,72,36,8043,2,3,11
262,72,36,8043,2,3,11
263,72,36,8043,2,3,11
264,72,36,8043,2,3,11
265,72,36,8043,2,3,11
266,72,36,8043,2,3,11
267,72,36,8043,2,3,11
268,72,36,8043,2,3,11
269,68,46,7993,0,3,10
270,68,46,7993,0,3,10
271,68,46,7993,0,3,10
272,68,46,7993,0,3,10
273,68,46,7993,0,3,10
274,68,46,7993,0,3,10
275,68,46,7993,0,3,10
276,68,46,7993,0,3,10
277,68,46,7993,0,3,10
278,68,46,7993,0,3,10
279,68,46,7993,0,3,10
280,68,46,7993,0,3,10
281,68,46,7993,0,3,10
282,68,46,7993,0,3,10
283,68,46,7993,0,3,10
284,68,46,7993,0,3,10
285,68,46,7993,0,3,10
286,68,46,7993,0,3,10
287,68,46,7993,0,3,10
288,68,46,7993,0,3,10
289,68,46,7993,0,3,10
290,68,46,7993,0,3,10
291,68,46,7993,0,3,10
292,68,46,7993,0,3,10
293,68,46,7993,0,3,10
294,68,46,7993,0,3,10
295,68,46,7993,0,3,10
296,68,46,7993,0,3,10
297,68,46,7993,0,3,10
298,68,46,7993,0,3,10
299,68,46,7993,0,3,10
300,68,46,7993,0,3,10
301,68,46,7993,0,3,10
302,68,46,7993,0,3,10
303,68,46,7993,0,3,10
304,68,46,7993,0,3,10
305,68,46,7993,0,3,10
306,68,46,7993,0,3,10
307,68,46,7993,0,3,10
308,68,46,7993,0,3,10
309,68,46,7993,0,3,10
310,68,46,7993,0,3,10
311,68,46,7993,0,3,10
312,68,46,7993,0,3,10
313,68,46,7993,0,3,10
314,68,46,7993,0,3,10
315,68,46,7993,0,3,10
316,68,46,7993,0,3,10
317,68,46,7993,0,3,10
318,68,46,7993,0,3,10
319,68,46,7993,0,3,10
320,68,46,7993,0,3,10
321,68,46,7993,0,3,10
322,68,46,7993,0,3,10
323,68,46,7993,0,3,10
324,68,46,7993,0,3,10
325,68,46,7993,0,3,10
326,68,46,7993,0,3,10
327,68,46,7993,0,3,10
328,68,46,7993,0,3,10
329,68,46,7993,0,3,10
330,68,46,7993,0,3,10
331,68,46,7993,0,3,10
332,68,46,7993,0,3,10
333,68,46,7993,0,3,10
334,68,46,7993,0,3,10
335,68,46,7993,0,3,10
336,68,10,8125,0,3,11
337,-10,10,8125,0,3,11
338,-10,10,8125,0,3,11
339,-10,10,8125,0,3,11
340,-10,10,8125,0,3,11
341,-10,10,8125,0,3,11
342,-10,10,8125,0,3,11
343,-10,10,8125,0,3,11
344,-10,10,8125,0,3,11
345,-10,10,8125,0,3,11
346,-10,10,8125,0,3,11
347,-10,10,8125,0,3,11
348,-10,10,8125,0,3,11
349,-10,10,8125,0,3,11
350,-10,10,8125,0,3,11
351,-10,10,8125,0,3,11
352,-10,10,8125,0,3,11
353,-10,10,8125,0,3,11
354,-10,10,8125,0,3,11
355,-10,10,8125,0,3,11
356,-10,10,8125,0,3,11
357,-10,10,8125,0,3,11
358,-10,10,8125,0,3,11
359,-10,10,8125,0,3,11
360,-10,10,8125,0,3,11
361,-10,10,8125,0,3,11
362,-10,10,8125,0,3,11
363,-10,10,8125,0,3,11
364,-10,10,8125,0,3,11
365,-10,10,8125,0,3,11
366,-10,10,8125,0,3,11
367,-10,10,8125,0,3,11
368,-10,10,8125,0,3,11
369,-10,10,8125,0,3,11
370,-10,10,8125,0,3,11
371,-10,10,8125,0,3,11
372,-10,10,8125,0,3,11
373,-10,10,8125,0,3,11
374,-10,10,8125,0,3,11
