Zaman,Hex_Veri,Decimal_Veri,Angle
2026-07-24 16:59:09,0B,11,7.764705882352941
2026-07-24 16:59:09,0D,13,9.176470588235293
2026-07-24 16:59:09,13,19,13.411764705882353
2026-07-24 16:59:09,14,20,14.117647058823529
2026-07-24 16:59:09,13,19,13.411764705882353
2026-07-24 16:59:09,13,19,13.411764705882353
2026-07-24 16:59:09,13,19,13.411764705882353
2026-07-24 16:59:10,13,19,13.411764705882353
2026-07-24 16:59:10,14,20,14.117647058823529
2026-07-24 16:59:10,14,20,14.117647058823529
2026-07-24 16:59:10,14,20,14.117647058823529
2026-07-24 16:59:10,14,20,14.117647058823529
2026-07-24 16:59:10,14,20,14.117647058823529
2026-07-24 16:59:10,14,20,14.117647058823529
2026-07-24 16:59:10,13,19,13.411764705882353
2026-07-24 16:59:10,14,20,14.117647058823529
2026-07-24 16:59:10,13,19,13.411764705882353
2026-07-24 16:59:11,14,20,14.117647058823529
2026-07-24 16:59:11,14,20,14.117647058823529
2026-07-24 16:59:11,13,19,13.411764705882353
2026-07-24 16:59:11,13,19,13.411764705882353
2026-07-24 16:59:11,14,20,14.117647058823529
2026-07-24 16:59:11,14,20,14.117647058823529
2026-07-24 16:59:11,14,20,14.117647058823529
2026-07-24 16:59:11,13,19,13.411764705882353
2026-07-24 16:59:11,14,20,14.117647058823529
2026-07-24 16:59:11,14,20,14.117647058823529
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:12,13,19,13.411764705882353
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:12,14,20,14.117647058823529
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:13,13,19,13.411764705882353
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:13,14,20,14.117647058823529
2026-07-24 16:59:14,14,20,14.117647058823529
2026-07-24 16:59:14,16,22,15.529411764705882
2026-07-24 16:59:14,19,25,17.647058823529413
2026-07-24 16:59:14,1C,28,19.764705882352942
2026-07-24 16:59:14,1F,31,21.88235294117647
2026-07-24 16:59:14,24,36,25.41176470588235
