Zaman(s),Raw_Ax,Raw_Ay,Raw_Az,Raw_Gx,Raw_Gy,Raw_Gz,Angle_X,Angle_Y,Angle_Z,Filt_Ax,Filt_Ay,Filt_Az,Filt_Gx,Filt_Gy,Filt_Gz
10.5249,304,98,16535,3,6,108,126,133,121,-115,410,16475,-3,153,56
10.5408,56,270,16367,1,-6,128,126,133,121,-11,332,16490,-2,116,69
10.5408,48,226,16567,-1,-5,141,128,131,121,5,316,16459,-2,85,83
10.5572,412,106,16647,3,3,167,128,131,121,15,293,16486,-2,62,97
10.5572,168,66,16403,2,11,181,129,130,121,114,246,16526,-1,47,114
10.5729,96,218,16567,1,19,177,129,130,121,127,201,16495,-1,38,130
10.5892,592,-6,16455,3,27,157,129,130,121,119,205,16513,-1,33,141
10.5892,536,14,16463,3,26,105,129,130,121,237,152,16498,0,31,145
10.6047,204,186,16499,4,24,44,131,128,121,311,117,16489,0,29,135
10.6207,180,218,16575,4,16,18,131,128,121,284,134,16491,1,27,112
10.6208,144,250,16531,5,8,10,131,129,121,258,155,16512,1,24,88
10.6368,120,238,16499,5,3,7,131,129,121,229,178,16516,2,20,68
10.6368,188,134,16487,6,1,2,130,130,121,201,193,16511,2,15,52
10.6533,208,222,16519,6,6,-23,130,130,121,197,178,16505,3,11,39
10.6687,252,234,16515,8,2,-61,130,129,121,199,189,16508,3,9,23
10.6688,244,90,16507,7,7,-96,130,129,121,212,200,16509,4,7,2
10.6848,196,162,16547,10,10,-136,130,129,122,220,172,16508,4,7,-23
10.7008,348,102,16467,11,-2,-166,130,129,122,214,169,16517,5,7,-52
10.7009,160,166,16487,11,2,-206,130,129,122,247,152,16504,6,4,-81
10.7173,92,242,16479,10,0,-228,130,129,122,225,155,16499,7,3,-113
10.7328,100,194,16551,13,0,-213,129,129,122,191,176,16494,7,2,-142
10.7328,-20,166,16551,8,-6,-190,129,129,122,168,180,16508,8,1,-160
10.7492,0,286,16543,8,-14,-164,128,130,122,121,176,16518,8,-1,-168
10.7492,-24,406,16435,7,-21,-130,128,130,122,90,203,16524,8,-5,-167
10.7652,104,138,16511,7,-17,-87,127,131,122,61,253,16501,7,-9,-158
10.7806,400,-38,16391,9,-21,-92,127,131,122,71,224,16503,7,-11,-141
10.7807,228,-34,16491,7,-23,-147,129,130,122,153,158,16475,7,-14,-129
10.7966,288,426,16395,10,-24,-197,129,130,122,171,110,16479,7,-17,-134
10.8126,152,-38,16523,10,-23,-223,130,130,122,200,189,16458,7,-19,-150
10.8127,356,-362,16631,11,-12,-268,130,130,122,188,132,16474,7,-20,-169
10.8287,556,-442,16459,12,-2,-359,130,128,122,230,8,16513,8,-18,-194
10.8446,168,-358,16583,14,13,-483,130,128,122,311,-105,16499,9,-14,-236
10.8447,-40,-26,16607,16,21,-573,131,125,123,275,-169,16520,10,-8,-298
10.8612,416,-1214,16483,18,-8,-675,131,125,123,196,-134,16541,11,-1,-367
10.8612,1108,-2846,21115,13,10,-708,130,121,123,251,-404,16526,12,-3,-444
10.8767,-2124,-570,16075,13,32,-526,130,121,123,465,-1015,17673,12,0,-510
10.8928,208,-386,16279,10,28,-497,124,112,125,-183,-904,17273,12,8,-514
10.8929,684,1174,16551,11,50,-473,124,112,125,-86,-775,17024,11,13,-510
10.9091,412,-246,16415,11,39,-478,128,122,124,106,-288,16905,11,22,-501
10.9252,552,366,16371,8,18,-530,128,122,124,182,-278,16782,11,26,-496
10.9252,656,474,16219,13,3,-586,131,125,124,274,-117,16679,10,24,-505
10.9407,136,-434,16511,15,2,-650,131,125,124,369,30,16564,10,18,-526
10.9408,212,522,16519,15,1,-734,131,125,125,310,-86,16550,11,14,-557
10.9567,336,-366,16715,16,2,-819,131,125,125,285,66,16542,12,10,-602
10.9732,716,-766,16843,22,-3,-955,131,126,126,297,-42,16585,13,8,-657
10.9732,1116,-842,16563,25,-14,-1146,131,126,126,401,-223,16649,15,5,-732
10.9888,672,-538,16759,29,-15,-1363,136,121,127,579,-378,16627,17,0,-836
11.0053,1312,-618,16535,35,-18,-1605,136,121,127,602,-418,16660,20,-4,-968
11.0054,1308,-570,16627,37,-18,-1906,139,120,128,779,-468,16628,23,-8,-1128
11.0211,1364,-758,16271,46,-13,-2228,139,120,128,911,-494,16627,26,-11,-1323
11.0367,1132,-230,16451,52,-26,-2554,143,119,131,1024,-560,16538,31,-12,-1550
11.0368,320,874,16539,54,-26,-2779,143,119,131,1051,-478,16516,36,-16,-1801
11.0527,-352,382,16715,56,-32,-2827,140,125,133,868,-140,16521,40,-19,-2046
11.0528,-64,1226,16315,53,-37,-2754,140,125,133,563,-10,16569,44,-23,-2242
11.0687,284,782,16371,51,-31,-2653,133,132,136,406,299,16505,46,-27,-2370
11.0849,-440,562,16383,53,-31,-2574,133,132,136,375,419,16471,47,-28,-2441
11.085,-492,178,16231,53,-27,-2514,129,135,137,171,454,16449,48,-29,-2475
11.1008,320,578,16599,51,-18,-2461,129,135,137,5,385,16394,49,-29,-2485
11.1171,-244,206,16319,48,-20,-2394,128,134,138,83,433,16445,49,-27,-2479
11.1172,-272,266,16499,48,-20,-2330,128,134,138,1,376,16413,48,-26,-2458
11.1337,-160,74,16319,46,-16,-2289,125,133,139,-68,348,16434,48,-25,-2426
11.1338,140,154,16163,45,-15,-2271,125,133,139,-91,279,16405,47,-23,-2392
11.1487,108,698,16119,43,-22,-2260,126,131,141,-34,247,16344,46,-21,-2362
11.1651,-328,1078,16479,50,-8,-2191,127,133,141,1,359,16287,45,-22,-2337
11.1653,-660,1650,16451,44,-8,-2053,127,133,141,-82,538,16335,46,-19,-2301
11.1812,-492,998,16615,37,-7,-1865,123,140,141,-227,816,16364,45,-17,-2239
11.1968,-576,1418,16435,32,-10,-1651,123,140,141,-294,861,16426,43,-15,-2146
11.1968,-720,1542,16783,30,-11,-1418,121,143,141,-365,1000,16428,40,-14,-2023
11.2127,-1100,2058,16475,25,-10,-1127,121,143,141,-454,1135,16516,37,-14,-1872
11.2292,-1312,1802,16515,16,-6,-746,117,149,141,-616,1365,16505,34,-13,-1686
11.2293,320,266,16467,8,-8,-290,117,149,141,-790,1474,16507,29,-12,-1451
11.2446,204,278,16479,7,-6,-77,118,146,140,-513,1172,16497,23,-11,-1161
11.2446,184,254,16567,5,-7,-17,118,146,140,-334,948,16492,19,-10,-890
11.2606,88,266,16527,7,-8,2,123,140,139,-205,774,16510,15,-10,-672
11.2772,148,342,16471,6,-5,13,123,140,139,-132,647,16514,13,-10,-504
11.2773,116,462,16571,7,-8,34,126,136,138,-62,570,16503,11,-9,-375
11.2932,-24,482,16675,3,-10,102,126,136,138,-18,543,16520,10,-9,-273
11.3088,60,342,16551,2,-11,175,126,136,137,-20,527,16558,8,-10,-180
11.3089,64,230,16531,4,-13,222,126,136,137,0,480,16556,6,-11,-92
11.3252,140,334,16623,4,-13,252,127,134,137,16,417,16549,5,-12,-14
11.3407,116,386,16487,5,-14,264,127,134,137,47,396,16567,4,-13,52
11.3408,100,506,16475,2,-21,287,128,134,136,64,393,16547,4,-14,105
11.3567,-96,682,16571,3,-26,340,128,134,136,73,421,16529,3,-16,150
11.3568,-488,1314,16387,1,-35,456,127,135,136,30,486,16539,3,-19,197
11.3729,-640,1214,16663,-4,-49,668,127,135,136,-100,693,16501,2,-23,261
11.3891,-200,1266,16627,-6,-62,896,123,140,135,-235,823,16541,0,-30,362
11.3892,-364,1014,16527,-8,-83,1091,123,140,135,-227,933,16562,-2,-38,495
11.4047,36,746,16567,-14,-80,1252,123,142,134,-262,953,16553,-4,-50,644
11.4208,-544,622,16251,-11,-78,1367,123,142,134,-188,901,16556,-7,-58,796
11.4209,276,1214,17067,-17,-79,1506,123,140,132,-277,831,16479,-8,-63,938
11.4367,-240,882,16523,-21,-91,1645,123,140,132,-139,926,16626,-11,-67,1080
11.4367,-268,974,16607,-23,-91,1827,125,142,131,-165,915,16600,-14,-73,1221
11.4529,-596,766,16599,-17,-105,2019,125,142,131,-191,929,16601,-17,-78,1372
11.4688,160,682,16487,-27,-99,2177,123,141,129,-293,888,16600,-17,-85,1533
11.4689,152,694,17015,-18,-103,2281,123,141,129,-180,836,16571,-20,-89,1694
11.4847,1152,798,16267,-12,-124,2361,126,140,126,-97,800,16682,-20,-93,1840
11.5012,804,430,16415,-15,-65,2400,126,140,126,215,799,16578,-18,-101,1970
11.5013,1128,378,16415,-12,-40,2433,133,139,124,362,706,16537,-18,-92,2077
11.5167,700,282,16655,-17,-45,2472,133,139,124,553,624,16506,-17,-79,2166
11.5327,264,362,16191,-22,-34,2549,137,136,123,589,538,16543,-17,-71,2242
11.5328,-32,206,16259,-23,-4,2635,137,136,123,507,494,16455,-19,-62,2318
11.5487,960,674,16643,-20,14,2722,133,134,121,372,422,16406,-20,-48,2397
11.5488,1360,642,16835,-19,15,2791,133,134,121,519,485,16465,-20,-33,2478
11.5648,-356,154,16427,-19,22,2849,139,136,120,729,524,16557,-20,-21,2556
11.5809,340,1130,16035,-20,-22,2891,139,136,120,457,431,16524,-20,-11,2629
11.581,-480,1838,16443,-24,71,3054,134,137,118,427,605,16401,-20,-14,2694
11.5972,40,1334,17191,-28,79,3307,134,137,118,200,913,16411,-21,7,2784
11.6128,-3512,-894,14667,-25,-40,3508,130,142,116,160,1018,16606,-23,25,2914
11.6128,1892,-278,17203,-27,-38,3504,130,142,116,-758,540,16121,-24,8,3062
11.6286,580,-9170,15163,-23,40,3218,126,133,113,-96,335,16391,-25,-4,3172
11.6287,1976,-5950,17855,-16,146,1439,126,133,113,73,-2042,16084,-25,7,3183
11.6447,132,310,16811,4,47,412,136,79,114,548,-3019,16526,-23,41,2747
11.6618,216,314,16671,6,19,125,136,79,114,444,-2187,16597,-17,42,2163
11.6618,148,214,16487,8,11,40,134,102,116,387,-1562,16615,-12,36,1653
11.6768,276,246,16451,5,9,17,134,102,116,327,-1118,16583,-7,29,1249
11.6927,280,222,16395,3,37,13,132,114,119,314,-777,16550,-4,24,941
11.6928,220,166,16679,0,65,9,132,114,119,305,-528,16511,-3,27,709
11.7093,144,186,16591,-1,50,8,132,121,119,283,-355,16553,-3,36,534
11.7247,284,250,16515,3,25,9,132,121,119,248,-220,16562,-3,39,402
11.7247,320,246,16271,4,22,11,132,125,120,257,-103,16550,-2,35,303
11.7409,336,-230,15999,1,64,1,132,125,120,272,-16,16480,-1,31,230
11.7409,-124,62,16683,-1,159,-78,132,125,121,288,-70,16359,-1,39,172
11.7572,84,522,16743,5,146,-129,132,125,121,185,-37,16440,-1,69,109
11.7727,200,410,16611,6,103,-111,129,128,121,159,102,16515,0,88,49
11.7728,80,206,16527,6,50,-89,129,128,121,169,179,16539,1,91,9
11.7887,196,254,16431,6,19,-93,129,129,122,146,185,16536,2,80,-16
11.8051,184,382,16527,6,12,-89,129,129,122,158,202,16509,3,64,-36
11.8052,288,402,16495,3,9,-52,129,130,122,164,247,16513,3,51,-50
11.8214,252,250,16439,3,4,-16,129,130,122,195,285,16508,3,40,-51
11.8366,284,122,16407,4,3,-8,130,131,122,209,276,16490,3,31,-43
11.8367,184,234,16583,6,2,-12,130,131,122,227,237,16469,3,24,-35
11.8531,224,234,16539,5,5,-10,130,130,122,216,236,16497,3,18,-30
11.8532,236,210,16499,5,5,-1,130,130,122,218,235,16507,3,14,-25
11.8693,224,226,16455,6,9,1,130,130,122,222,228,16505,3,11,-19
11.8847,288,194,16331,7,32,1,130,130,122,222,227,16492,3,10,-14
11.8848,136,186,16707,6,56,5,130,130,122,238,218,16451,4,15,-11
11.9008,192,274,16571,6,26,6,130,130,122,212,210,16515,4,25,-7
11.9171,40,206,16759,1,-4,6,130,130,122,207,226,16529,4,25,-4
11.9172,-392,246,17755,6,-102,8,130,130,122,165,221,16586,3,17,-2
11.9327,-244,230,17643,11,-366,10,127,131,121,25,227,16878,3,-13,0
11.9328,-144,542,16723,30,-668,17,127,131,121,-43,227,17069,5,-102,2
11.9487,-408,1354,15435,39,-762,40,125,132,121,-69,305,16982,11,-244,5
11.9652,-692,1866,16075,39,-593,87,125,132,121,-154,567,16595,18,-374,13
11.9653,100,1034,16539,50,-463,103,122,142,121,-289,891,16465,23,-429,31
11.9807,288,1290,16479,56,-443,65,124,143,121,-192,926,16483,29,-438,49
11.9967,560,1210,16247,51,-453,-11,124,143,121,-72,1017,16482,35,-440,53
11.9968,736,946,16483,36,-429,-102,128,145,121,86,1065,16423,39,-444,37
12.0132,820,1038,15899,28,-355,-170,128,145,121,248,1035,16438,38,-441,2
12.0291,608,450,16763,18,-239,-211,133,145,122,391,1035,16303,35,-420,-41
12.0292,764,86,16731,19,-318,-247,133,145,122,445,888,16418,30,-375,-84
12.0447,636,-890,17231,22,-444,-309,135,139,122,524,687,16496,27,-361,-125
12.0448,3612,-2730,15491,22,-512,-394,135,139,122,552,292,16679,25,-382,-171
12.0612,2092,-1686,16203,11,-436,-535,147,121,122,1317,-464,16382,24,-415,-227
12.0767,804,1054,16335,0,-371,-591,147,121,122,1510,-770,16337,20,-421,-304
12.0768,200,-86,16555,8,-345,-280,147,124,123,1333,-314,16336,15,-409,-376
12.0927,1168,150,15959,21,-419,-132,147,124,123,1049,-257,16390,13,-393,-352
12.1088,628,134,17447,22,-457,-68,143,126,123,1078,-156,16282,15,-400,-297
12.1089,672,194,17399,29,-626,-28,143,126,123,965,-84,16573,16,-415,-240
12.1252,904,30,17275,38,-850,-7,140,128,122,891,-15,16779,19,-468,-187
12.1406,864,370,17739,45,-1079,8,140,128,122,894,-4,16903,23,-564,-142
12.1407,884,686,17627,54,-1344,4,140,131,122,886,89,17112,28,-693,-105
12.1569,1168,862,17327,59,-1631,-13,140,131,122,885,238,17240,34,-856,-78
12.157,1544,90,16703,64,-1842,-26,141,138,123,955,394,17261,40,-1050,-62
12.1732,1752,642,16243,66,-1928,-15,141,138,123,1102,318,17121,46,-1248,-53
12.1889,2056,406,15759,69,-1896,8,146,139,123,1264,399,16901,51,-1418,-44
12.189,2324,322,15639,67,-1783,26,146,139,123,1462,400,16615,55,-1538,-31
12.2055,2492,178,15647,59,-1615,21,153,139,123,1677,380,16371,58,-1600,-17
12.2213,2568,66,16319,47,-1478,-9,153,139,123,1880,329,16190,58,-1604,-8
12.2213,2592,-154,16211,40,-1399,-39,159,138,123,2052,263,16222,55,-1573,-9
12.2369,2412,-134,16143,39,-1347,-52,159,138,123,2187,158,16219,51,-1530,-17
12.237,2580,-50,15715,42,-1269,-40,162,134,123,2243,85,16200,48,-1485,-26
12.2529,3004,258,15335,41,-1114,-14,162,134,123,2327,51,16078,46,-1431,-30
12.2687,3116,370,15371,38,-923,4,166,134,123,2496,102,15892,44,-1352,-26
12.2688,3056,386,15711,32,-708,10,166,134,123,2651,169,15761,42,-1245,-19
12.2852,2980,378,16431,25,-554,14,170,135,123,2752,223,15748,39,-1111,-12
12.3007,2880,882,17159,26,-530,24,170,135,123,2809,261,15918,35,-972,-6
12.3008,2996,1126,17239,43,-667,85,171,137,122,2826,416,16228,32,-862,1
12.3168,3060,1334,17167,61,-856,189,171,137,122,2868,593,16480,34,-814,22
12.3331,2980,902,17203,92,-1063,319,172,143,122,2916,778,16651,40,-825,63
12.3332,3716,850,17099,127,-1298,453,172,143,122,2932,809,16789,53,-885,127
12.3487,3728,938,17475,163,-1544,609,175,143,122,3128,819,16866,71,-989,208
12.3488,3196,494,17403,219,-1877,810,175,143,122,3278,848,17018,94,-1128,308
12.3652,3588,174,17223,267,-2154,954,177,144,120,3257,759,17114,125,-1316,433
12.3807,4176,330,16555,304,-2417,1036,177,144,120,3339,612,17141,160,-1526,563
12.3808,4560,310,16287,333,-2651,1056,182,142,119,3548,541,16994,196,-1749,681
12.3971,5112,194,16555,343,-2828,1027,182,142,119,3801,483,16817,230,-1975,774
12.4128,5320,-166,16407,340,-3020,955,190,142,118,4128,410,16751,258,-2189,837
12.4128,4972,-242,16743,339,-3220,858,190,142,118,4426,266,16665,278,-2397,866
12.4287,5032,234,16511,341,-3403,786,197,140,117,4562,139,16684,293,-2603,864
12.4288,5364,594,15195,365,-3527,774,197,140,117,4679,162,16640,305,-2803,844
12.445,5444,358,15267,382,-3529,777,201,143,117,4850,270,16278,320,-2984,826
12.4607,6184,-14,15179,351,-3482,674,201,143,117,4998,292,16025,335,-3121,813
12.4608,7896,-358,14467,262,-3453,414,208,143,117,5294,215,15813,339,-3212,778
12.4769,8432,-634,14547,132,-3404,67,208,143,117,5944,71,15476,319,-3273,687
12.4927,8236,-22,14615,-25,-3453,-311,228,138,117,6566,-106,15243,272,-3306,532
12.4927,6972,-106,15959,-169,-3566,-596,228,138,117,6983,-85,15086,197,-3343,321
12.5087,6248,-574,16679,-279,-3755,-794,236,139,119,6980,-91,15304,105,-3399,91
12.5248,7204,-354,15675,-379,-4028,-960,236,139,119,6797,-212,15647,9,-3488,-131
12.5249,7008,1310,15387,-448,-4203,-949,235,138,121,6898,-248,15654,-88,-3623,-339
12.5407,9324,1138,14111,-378,-4266,-759,235,138,121,6925,141,15587,-178,-3768,-492
12.5408,10728,998,12071,-342,-4402,-654,245,149,122,7524,390,15218,-228,-3893,-559
12.557,9912,1662,12535,-330,-4476,-586,245,149,122,8325,542,14431,-257,-4021,-583
12.5727,8724,1654,13191,-255,-4440,-432,255,156,123,8721,822,13957,-276,-4135,-584
12.5727,7616,1726,13819,-82,-4309,-166,255,156,123,8721,1030,13765,-271,-4212,-546
12.5891,8036,1230,14495,168,-4163,196,255,162,122,8444,1204,13778,-224,-4237,-451
12.6051,8820,330,14395,521,-4024,585,255,162,122,8342,1210,13957,-126,-4219,-290
12.6052,10020,922,11331,740,-4082,804,255,159,121,8461,990,14066,35,-4171,-72
12.6207,10224,202,13283,829,-4083,896,255,159,121,8850,973,13382,211,-4149,147
12.6372,11564,-126,13303,912,-4292,933,255,156,119,9193,780,13357,365,-4133,334
12.6372,9584,-354,13143,931,-4481,919,255,156,119,9785,553,13343,501,-4173,483
12.6531,12644,366,8835,944,-4513,866,255,149,118,9734,326,13293,608,-4250,592
12.6532,11904,-394,11887,932,-4395,838,255,149,118,10461,336,12178,692,-4316,660
12.6687,12148,150,10187,983,-4203,852,255,146,117,10821,153,12105,752,-4336,704
12.6847,12616,-590,12575,947,-4083,780,255,146,117,11152,152,11625,809,-4303,741
12.6848,12928,-78,10923,927,-4164,727,255,143,117,11518,-34,11862,843,-4248,750
12.7012,11188,302,10463,918,-4375,685,255,143,117,11870,-45,11627,864,-4227,744
12.7167,13916,854,7691,933,-4521,664,255,144,117,11699,41,11336,877,-4264,729
12.7168,12736,570,7087,951,-4537,645,255,144,117,12253,244,10424,891,-4329,712
12.7327,14188,106,7155,929,-4386,606,255,150,116,12373,325,9589,906,-4381,695
12.7327,12548,398,6111,930,-4231,581,255,150,116,12826,270,8980,911,-4383,672
12.7491,14304,-66,8055,941,-3936,574,255,148,116,12756,302,8262,915,-4345,649
12.7651,14768,-46,7951,938,-3624,547,255,148,116,13143,210,8210,921,-4243,630
12.7652,13876,266,8415,831,-3289,473,255,145,116,13549,146,8145,925,-4089,609
12.7808,15752,306,6351,696,-2999,377,255,145,116,13630,176,8212,901,-3889,575
12.7967,15748,462,6615,581,-2738,299,255,145,115,14160,208,7746,849,-3667,525
12.7968,14400,338,7627,528,-2410,272,255,145,116,14557,271,7463,782,-3435,468
12.8132,15208,794,7015,517,-2363,250,255,145,116,14517,287,7504,718,-3179,419
12.8287,14244,130,8663,509,-2571,247,255,145,116,14689,413,7381,667,-2975,376
12.8288,13240,266,9139,517,-2937,237,255,145,116,14577,342,7701,627,-2874,343
12.8447,15916,1062,5623,631,-3388,273,255,144,116,14242,323,8060,599,-2890,316
12.8448,18504,494,7195,654,-3744,273,255,144,116,14660,507,7450,607,-3015,305
12.8611,14952,-266,4871,548,-4378,213,255,147,116,15621,503,7386,618,-3198,297
12.8766,14424,50,2991,553,-4820,197,255,147,116,15453,310,6757,600,-3493,276
12.8767,16128,-438,6351,663,-4570,229,255,145,116,15195,245,5815,588,-3825,256
12.8929,13728,1722,735,709,-4453,225,255,145,116,15428,74,5949,606,-4012,249
12.9087,17556,1474,807,615,-3974,176,255,151,117,15003,486,4645,631,-4123,243
12.9088,16176,1994,2763,419,-2947,77,255,151,117,15641,733,3685,627,-4086,226
12.9247,16276,950,2703,147,-2048,-14,255,158,116,15774,1048,3454,575,-3802,188
12.9248,15320,-162,3407,-112,-1382,-47,255,158,116,15899,1023,3266,468,-3364,137
12.9407,16044,478,3991,-239,-1152,-17,255,150,116,15754,726,3301,323,-2869,91
12.9571,16060,-342,3399,-240,-1096,14,255,150,116,15826,664,3473,182,-2440,64
12.9572,19568,-258,5079,-164,-1042,-5,255,142,116,15884,412,3454,76,-2104,51
12.9731,16748,-406,3951,-108,-1112,-12,255,142,116,16805,244,3860,16,-1839,37
12.9887,17540,-354,3759,-25,-1254,7,255,135,116,16790,81,3882,-15,-1658,24
12.9888,16284,530,2635,82,-1307,25,255,135,116,16977,-28,3851,-18,-1557,19
13.0051,16844,302,2359,76,-1253,25,255,134,116,16803,111,3547,7,-1495,20
13.0206,15152,-566,4947,48,-1408,13,255,134,116,16813,158,3250,24,-1435,21
13.0207,18188,-34,503,102,-2080,18,255,132,116,16397,-23,3674,30,-1429,19
13.0367,14536,1466,4203,72,-1852,-25,255,132,116,16844,-26,2881,48,-1592,18
13.0368,15856,810,2251,52,-1610,42,255,139,116,16267,347,3211,54,-1657,7
13.0527,19200,702,4231,25,-1354,36,255,139,116,16164,462,2971,53,-1646,15
13.0687,16352,-410,2443,-41,-2164,6,255,142,116,16923,522,3286,46,-1573,20
13.0687,17508,-238,-793,16,-3283,19,255,142,116,16780,289,3075,24,-1721,16
13.0851,17908,2798,-765,104,-2544,26,255,138,116,16962,157,2108,22,-2112,16
13.1008,15896,454,3447,29,-1411,14,255,138,116,17198,817,1389,42,-2220,18
13.1009,16752,602,615,18,-1059,11,255,146,116,16872,726,1903,38,-2018,17
13.1171,16908,342,799,-48,-1008,5,255,146,116,16842,695,1581,33,-1779,15
13.1327,16608,450,1027,-86,-982,5,255,143,116,16858,606,1385,12,-1587,12
13.1328,16528,370,1123,-98,-893,5,255,143,116,16795,567,1295,-13,-1436,10
13.1486,16768,446,563,-91,-808,2,255,141,116,16728,517,1252,-35,-1301,8
13.1486,16356,426,1511,-82,-697,4,255,141,116,16738,499,1079,-49,-1178,6
13.1651,17232,502,115,-69,-630,6,255,139,116,16642,480,1187,-58,-1058,5
13.1811,17168,434,967,-72,-626,6,255,139,116,16789,485,919,-61,-951,5
13.1812,16500,606,883,-52,-624,6,255,138,116,16883,472,931,-64,-870,5
13.1966,16596,302,1411,-34,-603,7,255,138,116,16787,505,919,-61,-809,5
13.2128,16668,506,-97,5,-581,10,255,137,116,16739,454,1042,-55,-758,5
13.2129,16436,354,1359,7,-548,9,255,137,116,16721,467,757,-40,-714,6
13.2287,16792,422,-277,21,-582,10,255,136,116,16649,438,907,-29,-673,6
13.2288,16768,414,639,16,-562,11,255,136,116,16684,434,611,-17,-651,7
13.2446,17072,518,-585,14,-520,10,255,136,116,16705,429,618,-9,-629,8
13.2605,16632,382,503,11,-386,9,255,136,116,16796,451,317,-4,-602,8
13.2606,17132,534,-717,12,-264,9,255,136,116,16755,433,363,-1,-548,8
13.2771,16716,986,-73,-1,-136,8,255,136,116,16849,458,93,2,-477,8
13.293,16644,862,-69,-34,-66,7,255,138,116,16815,590,51,1,-392,8
13.2931,16980,98,323,-75,-57,5,255,138,116,16772,658,21,-8,-311,7
13.3087,16936,54,659,-69,-53,5,255,136,116,16824,518,96,-25,-248,6
13.3251,16628,406,779,-41,-43,3,255,136,116,16852,402,236,-36,-200,5
13.3251,16604,610,507,-26,-66,4,255,134,116,16796,403,371,-38,-161,4
13.3408,16668,206,659,-31,-125,5,255,134,116,16748,454,405,-35,-138,4
13.3409,16684,126,635,-32,-168,4,255,134,117,16728,392,468,-34,-135,4
13.3567,16492,118,1283,-27,-199,7,255,134,117,16717,325,509,-34,-144,4
13.3732,16960,450,55,-8,-232,8,255,132,117,16660,273,702,-33,-158,4
13.3733,16676,494,511,-1,-229,8,255,132,117,16735,317,540,-27,-177,5
13.3891,16668,510,371,-4,-225,10,255,133,117,16720,361,532,-21,-190,5
13.4047,16712,746,83,-10,-228,8,255,133,117,16707,398,491,-17,-199,6
13.4047,16120,882,1059,-26,-230,6,255,135,117,16708,485,389,-16,-207,6
13.4209,16780,430,-81,-53,-295,7,255,135,117,16561,584,556,-19,-213,6
13.4209,16760,282,335,-74,-281,5,255,136,117,16615,545,396,-28,-234,6
13.4371,16480,142,315,-65,-233,6,255,136,117,16651,479,380,-40,-246,5
13.4526,16748,66,-125,-55,-189,7,255,134,117,16608,394,363,-47,-243,5
13.4527,16724,30,431,-48,-130,6,255,134,117,16643,312,241,-49,-230,5
13.4686,16732,414,487,-16,-88,8,255,131,117,16663,241,288,-49,-205,5
13.4847,16728,418,235,-2,-106,10,255,131,117,16680,284,337,-41,-176,5
13.4847,16136,590,1503,5,-139,8,255,132,117,16692,317,311,-32,-159,6
13.5015,17244,742,-1197,20,-232,9,255,132,117,16553,385,609,-23,-154,6
13.5166,16812,438,-181,9,-223,8,255,135,117,16725,474,157,-13,-174,6
13.5167,16916,410,-217,11,-186,7,255,135,117,16746,465,72,-8,-187,6
13.5332,16748,430,135,6,-142,8,255,135,117,16788,451,-1,-4,-187,6
13.5333,17004,494,-73,12,-148,9,255,135,117,16778,445,33,-2,-176,6
13.5486,16628,470,811,13,-212,10,255,135,117,16834,457,6,1,-169,6
13.5647,17036,446,-649,11,-281,11,255,135,117,16782,460,207,4,-180,7
13.5648,16332,450,411,7,-288,13,255,135,117,16845,456,-7,5,-206,8
13.5808,16472,378,287,7,-304,11,255,135,117,16716,454,97,5,-227,9
13.5966,16760,474,-205,6,-296,10,255,134,117,16655,435,144,5,-247,9
13.5967,16712,366,-13,2,-254,12,255,134,117,16681,444,56,5,-260,9
13.6131,16788,438,-349,-2,-239,12,255,135,117,16688,424,38,4,-259,9
13.6287,16636,454,-5,-15,-216,10,255,134,117,16713,427,-59,2,-254,9
13.6288,16828,374,-537,-13,-182,9,255,134,117,16693,433,-46,-3,-245,9
13.6451,16948,482,-381,-10,-132,8,255,134,117,16726,418,-169,-6,-230,9
13.6452,16792,370,-133,-11,-87,8,255,134,117,16781,434,-222,-7,-206,8
13.661,16720,470,-293,-5,-46,8,255,134,117,16783,418,-200,-8,-177,8
13.6766,16772,446,-165,0,-14,6,255,134,117,16767,431,-224,-8,-145,8
13.6767,16652,378,-17,1,-2,7,255,134,117,16768,434,-210,-6,-113,7
13.6931,16696,402,-73,4,-9,7,255,134,117,16739,420,-162,-5,-86,7
13.7091,16664,378,-177,0,-20,9,255,134,117,16728,415,-140,-3,-67,7
13.7092,16692,446,-145,5,-42,9,255,134,117,16712,405,-150,-3,-56,7
13.7246,16904,482,-541,6,-75,10,255,134,117,16707,415,-149,-1,-53,7
13.7246,16532,426,187,4,-80,9,255,134,117,16756,431,-247,0,-59,7
13.7406,16700,350,-281,4,-91,10,255,134,117,16700,429,-139,1,-65,7
13.7567,16636,518,87,2,-92,7,255,134,117,16700,409,-175,1,-72,7
13.7567,16740,418,-117,-1,-107,9,255,134,117,16684,436,-110,1,-77,7
13.7727,16808,478,-269,0,-120,10,255,134,117,16698,431,-112,0,-85,7
13.7891,16752,574,-417,1,-105,9,255,134,117,16725,442,-152,0,-94,7
13.7892,16456,270,715,2,-70,7,255,134,117,16731,475,-219,0,-97,7
13.8051,16868,402,-385,2,-72,10,255,134,117,16662,423,14,0,-91,7
13.8208,16656,422,-93,-3,-68,8,255,134,117,16713,417,-86,0,-87,7
13.8209,16668,598,-373,-9,-86,8,255,134,117,16698,418,-88,-1,-83,7
